Filename,Audio_length
5348024557503195_f318_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,5.055
5348024557503486_f36_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,41.006
5348024557503178_f115_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,0.639
5348024557503604_f750_chunk_19_subchunk_1_QC1_5_upsampling_simulation.wav,6.301
5348024557502771_f402_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,4.654
5348024557503615_f863_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,3.573
5348024557503654_f270_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,9.855
5348024557503029_f756_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503357_f316_chunk_1_subchunk_1_QC1_3_sample_rate_reduction.wav,0.784
5348024557503409_f30_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,32.943
5348024557503009_f310_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557502896_f496_chunk_2_subchunk_1_QC1_1_format_conversion.mp3,4.863
5348024557503242_f390_chunk_7_subchunk_1_QC1_3_sample_rate_reduction.wav,6.015
5348024557502815_f1410_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,18.753
5348024557502908_f494_chunk_7_subchunk_1_QC1_1_format_conversion.mp3,11.295
5348024557503255_f588_chunk_5_subchunk_1_QC1_3_sample_rate_reduction.wav,11.583
5348024557503015_f306_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503245_f587_chunk_2_subchunk_1_QC1_3_sample_rate_reduction.wav,16.705
5348024557503536_f353_chunk_7_subchunk_1_QC1_4_silence_insertion.wav,45.999
5348024557503365_f365_chunk_6_subchunk_1_QC1_3_sample_rate_reduction.wav,10.938
5348024557503192_f254_chunk_3_subchunk_1_QC1_3_sample_rate_reduction.wav,3.711
5348024557503660_f269_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,2.847
5348024557503088_f914_chunk_1_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557502910_f242_chunk_5_subchunk_1_QC1_1_format_conversion.mp3,4.863
5348024557503223_f2011_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,1.167
5348024557503656_f273_chunk_1_subchunk_1_QC1_5_upsampling_simulation.wav,14.175
5348024557503564_f2215_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,33.965
5348024557502908_f494_chunk_4_subchunk_1_QC1_1_format_conversion.mp3,6.303
5348024557503543_f579_chunk_5_subchunk_1_QC1_4_silence_insertion.wav,42.447
5348024557502778_f403_chunk_20_subchunk_1_QC1_1_format_conversion.mp3,4.778
5348024557503604_f750_chunk_16_subchunk_1_QC1_5_upsampling_simulation.wav,1.407
5348024557503363_f458_chunk_2_subchunk_1_QC1_3_sample_rate_reduction.wav,7.743
5348024557502833_f614_chunk_1_subchunk_1_QC1_1_format_conversion.mp3,2.458
5348024557503156_f1084_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,1.967
5348024557503499_f1546_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,38.568
5348024557503072_f263_chunk_5_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557502867_f850_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,5.699
5348024557503011_f551_chunk_5_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503024_f552_chunk_3_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503487_f35_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,37.359
5348024557502847_f615_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,12.351
5348024557502907_f252_chunk_9_subchunk_1_QC1_1_format_conversion.mp3,6.015
5348024557503535_f352_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,34.287
5348024557503237_f382_chunk_1_subchunk_1_QC1_3_sample_rate_reduction.wav,5.897
5348024557502778_f403_chunk_30_subchunk_1_QC1_1_format_conversion.mp3,6.8789375
